date,open,high,low,close,volume
2025-08-15,3.293,3.312,3.2775,3.3085,1542819
2025-08-16,3.285,3.2935,3.2085,3.268,391298
2025-08-17,3.27,3.284,3.263,3.265,81578
2025-08-18,3.265,3.302,3.2359999999999998,3.2755,1697237
2025-08-19,3.2755,3.3,3.257,3.2615,1313919
2025-08-20,3.27,3.2800000000000002,3.201,3.22,1592469
2025-08-21,3.22,3.235,3.163,3.1734999999999998,1755339
2025-08-22,3.18,3.193,3.15,3.1775,1555323
2025-08-23,3.179,3.18,3.1695,3.1765,69846
2025-08-24,3.1775,3.178,3.1635,3.172,72926
2025-08-25,3.1765,3.1765,3.135,3.173,1208135
2025-08-26,3.173,3.193,3.1485,3.176,964578
2025-08-27,3.176,3.191,3.168,3.1875,814023
2025-08-28,3.1875,3.2105,3.163,3.1695,1339754
2025-08-29,3.17,3.186,3.14,3.1635,1121477
2025-08-30,3.168,3.179,3.1545,3.1725,139985
2025-08-31,3.1725,3.1895,3.1725,3.1845,98823
2025-09-01,3.1855,3.192,3.156,3.163,706563
2025-09-02,3.162,3.1725,3.138,3.162,864760
2025-09-03,3.162,3.175,3.1425,3.171,647186
2025-09-04,3.1715,3.197,3.1635,3.1755,765502
2025-09-05,3.1755,3.196,3.175,3.1885,604505
2025-09-06,3.1885,3.1995,3.1825,3.196,103120
2025-09-07,3.19,3.2065,3.185,3.203,150195
2025-09-08,3.201,3.2295,3.1985,3.229,995040
2025-09-09,3.23,3.2545,3.21,3.2325,904488
2025-09-10,3.238,3.241,3.1795,3.1905,1086791
2025-09-11,3.1905,3.211,3.18,3.189,792160
2025-09-12,3.1814999999999998,3.2,3.1105,3.1165,1997530
2025-09-13,3.1265,3.134,3.1125,3.1245,107478
2025-09-14,3.1245,3.133,3.114,3.1305,114345
